age,education,black,hispanic,married,nodegree,re74,re75,re78
33,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
40,12,0,0,1,0,25862.3203125,14494.4501953125,25564.669921875
25,16,0,0,1,0,21048.400390625,22916.130859375,23574.169921875
33,12,0,0,0,0,12694.08984375,13046.080078125,11264.7099609375
52,13,1,0,0,0,19827.779296875,19668.48046875,18437.58984375
54,14,0,0,1,0,24686.759765625,25243.55078125,25564.669921875
27,15,0,0,0,0,19200.810546875,19303.259765625,18207.0703125
51,10,0,0,1,1,7488.31787109375,7888.1611328125,6148.81982421875
42,12,0,0,1,0,6502.80712890625,15241.01953125,15468.83984375
50,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
47,10,0,0,1,1,15282.2802734375,13964.51953125,9043.6865234375
28,12,0,0,1,0,24224.369140625,11019.4404296875,20055.7109375
33,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
33,13,0,0,1,0,21146.369140625,18732.150390625,22254.560546875
55,16,0,0,1,0,25862.3203125,24627.6796875,25564.669921875
38,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
39,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
27,17,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
16,9,0,0,0,1,378.13848876953125,467.2742004394531,4306.09521484375
35,12,0,0,1,0,6645.8330078125,3331.7900390625,0
35,12,0,0,1,0,22421.849609375,21093.580078125,23590.4296875
45,12,0,0,1,0,25862.3203125,25243.55078125,0
51,11,0,0,1,1,18270.16015625,21637.83984375,20267.01953125
27,16,0,0,0,0,11316.73046875,1761.677001953125,5532.60791015625
28,14,0,0,1,0,0,0,18719.83984375
35,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
39,10,0,0,1,1,18534.66015625,0,21496.490234375
33,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875
52,16,0,0,1,0,25862.3203125,25241.759765625,12429.16015625
22,13,0,0,0,0,5023.56005859375,6819.3388671875,13943.830078125
25,12,0,0,1,0,20070.73046875,11117.900390625,19003.560546875
28,16,0,0,1,0,25013.9609375,22710.240234375,0
27,16,0,0,1,0,16888.880859375,16200.6298828125,17295.310546875
30,13,0,0,0,0,8362.1513671875,7990.2099609375,8590.025390625
28,15,0,0,0,0,9672.900390625,8085.09716796875,14348.73046875
24,12,0,0,1,0,19083.259765625,18270.240234375,22261.94921875
29,11,1,0,0,1,14743.48046875,14954.5595703125,13714.7802734375
49,7,1,0,0,1,16444.130859375,16028.759765625,15965.3603515625
22,12,0,0,1,0,13352.400390625,14358.3896484375,17051.490234375
30,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
45,12,0,0,1,0,24185.189453125,25243.55078125,0
44,12,0,0,1,0,24669.130859375,24418.2109375,25564.669921875
21,12,0,0,0,0,11465.6298828125,1953.241943359375,25564.669921875
26,13,0,0,1,0,11661.5595703125,4142.80615234375,18650.390625
25,16,0,0,1,0,18822.6796875,20112.48046875,20986.669921875
45,8,0,0,1,1,16883,15316.2099609375,17010.109375
19,9,0,0,0,1,3311.160888671875,10525.3095703125,1693.4749755859375
55,9,0,0,1,1,12609.83984375,12349.650390625,12201.58984375
22,12,0,0,1,0,12423.7099609375,13035.33984375,17482.98046875
37,18,0,0,1,0,0,16735.939453125,25564.669921875
38,12,0,0,1,0,25862.3203125,25243.55078125,25298.6796875
29,13,0,0,1,0,17962.560546875,11590.5498046875,2639.219970703125
43,8,0,0,1,1,21044.48046875,25243.55078125,1301.876953125
51,10,0,0,1,1,25862.3203125,19817.080078125,4.43317985534668
25,14,0,0,1,0,11769.3203125,11624.5595703125,13903.9296875
52,12,0,0,1,0,20776.0703125,20808.919921875,10394.330078125
26,14,0,0,1,0,22886.19921875,24523.83984375,25564.669921875
37,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
36,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
27,14,0,0,1,0,6395.046875,18513.73046875,21258.5703125
21,11,0,0,1,1,20817.2109375,25243.55078125,25564.669921875
44,12,0,0,1,0,22686.349609375,0,19081.880859375
49,17,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
32,0,0,0,0,1,4559.2138671875,3976.305908203125,7246.77099609375
23,12,0,0,1,0,16593.029296875,17622.150390625,22872.25
46,12,0,0,1,0,18636.55078125,18214.740234375,20485.720703125
17,10,0,0,0,1,0,1536.0970458984375,19808.919921875
26,12,0,0,1,0,19067.580078125,24849.6796875,22545.669921875
27,12,0,0,1,0,19637.73046875,8178.19384765625,25564.669921875
30,15,0,0,1,0,23871.7109375,25243.55078125,25564.669921875
23,12,0,0,0,0,23826.640625,24942.76953125,25523.2890625
22,12,0,0,1,0,13540.490234375,21766.740234375,25564.669921875
30,18,0,0,1,0,23127.189453125,23580.33984375,25564.669921875
32,14,0,0,1,0,20145.1796875,15941.0302734375,25564.669921875
27,14,0,0,0,0,15576.169921875,24706.44921875,25564.669921875
18,12,0,0,0,0,4729.669921875,3328.2099609375,12602.0498046875
33,18,0,0,0,0,0,0,25564.669921875
22,11,0,0,0,1,5325.287109375,1061.6610107421875,0
23,16,0,0,0,0,2358.95703125,0,3270.208984375
51,10,0,0,1,1,19030.359375,17532.630859375,0
21,15,0,0,0,0,2470.635009765625,5116.7421875,10890.83984375
18,12,0,0,0,0,9065.52734375,9338.3232421875,7972.3349609375
53,10,0,0,1,1,0,0,0
21,12,0,0,0,0,4055.681884765625,1867.3060302734375,0
32,16,0,0,1,0,22525.689453125,22712.029296875,25564.669921875
41,12,0,0,1,0,25862.3203125,24745.83984375,25564.669921875
48,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875
25,18,0,0,0,0,2351.1201171875,211.2581024169922,25564.669921875
23,16,0,0,0,0,913.018310546875,8675.9033203125,14265.9697265625
30,12,0,0,1,0,0,0,0
22,12,0,0,1,0,1806.4439697265625,7114.7421875,0
44,10,0,0,1,1,5940.4970703125,2739.194091796875,2167.824951171875
17,11,0,0,0,1,2447.1240234375,3267.339111328125,7942.77978515625
23,12,0,0,0,0,331.1160888671875,0,594.04608154296875
47,8,0,0,1,1,25168.740234375,22651.16015625,24401.69921875
54,12,0,0,1,0,0,0,0
49,8,0,0,1,1,11408.8095703125,3709.548095703125,19136.560546875
36,18,0,0,1,0,23742.400390625,25243.55078125,25564.669921875
33,14,0,0,1,0,24951.259765625,23277.76953125,25564.669921875
43,15,0,0,1,0,19386.94921875,25207.740234375,22579.66015625
37,10,0,0,0,1,17235.669921875,18397.349609375,0
48,12,0,0,0,0,16536.2109375,16605.240234375,16713.08984375
54,12,0,0,0,0,0,0,0
28,16,0,0,0,0,92.085540771484375,0,626.55609130859375
35,3,0,0,1,1,19620.099609375,20361.33984375,15347.669921875
55,12,0,0,1,0,14696.4599609375,3134.85498046875,0
53,7,0,0,1,1,22308.2109375,21521.470703125,10159.3701171875
25,12,0,0,1,0,19888.51953125,17756.419921875,14422.6103515625
30,8,0,0,1,1,18691.41015625,15543.580078125,22984.560546875
44,5,0,0,0,1,12764.6201171875,9442.1611328125,6224.18408203125
44,6,0,0,1,1,25862.3203125,15217.740234375,25564.669921875
20,10,0,0,0,1,3814.69189453125,5234.90283203125,5021.31494140625
49,9,0,0,1,1,17147.5,12747.099609375,12683.330078125
55,8,0,0,1,1,5619.1767578125,5449.7421875,23559.390625
51,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
24,16,0,0,0,0,9692.4931640625,16012.650390625,7326.56787109375
54,10,0,0,1,1,25055.099609375,25243.55078125,22154.080078125
32,16,1,0,0,0,17135.75,1031.2259521484375,0
19,4,0,1,1,1,2298.219970703125,1786.741943359375,11607.5400390625
36,18,0,0,0,0,0,0,0
55,10,0,0,1,1,0,0,0
25,12,0,0,1,0,8679.5517578125,17666.900390625,17465.25
26,18,0,0,1,0,0,8414.515625,22867.8203125
19,13,0,0,0,0,5060.7861328125,5182.98388671875,16382.080078125
52,11,0,0,1,1,25862.3203125,25243.55078125,23290.44921875
19,12,0,0,0,0,4335.85693359375,4687.06494140625,21407.8203125
17,11,0,0,0,1,43.1038703918457,0,14911.740234375
23,10,0,0,1,1,10595.7099609375,1462.6939697265625,11861.7099609375
44,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
28,12,0,0,1,0,13095.740234375,4998.5810546875,9376.1748046875
49,8,0,0,1,1,17911.619140625,23684.1796875,9464.8388671875
54,10,0,0,1,1,14522.08984375,8738.5654296875,8486.583984375
22,11,0,0,0,1,5656.40283203125,0,3895.287109375
33,13,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
40,12,0,0,0,0,20468.4609375,6205.2578125,22680.150390625
47,12,0,0,1,0,25862.3203125,20522.470703125,24505.140625
21,12,0,0,0,0,9792.4150390625,2169.87109375,14998.919921875
17,10,0,0,0,1,0,0,1384.6300048828125
16,9,0,0,0,1,0,1346.322998046875,6705.9228515625
40,12,0,0,1,0,15435.099609375,12927.919921875,13061.6298828125
36,12,0,0,1,0,25241.23046875,25243.55078125,25564.669921875
51,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
46,9,0,0,1,1,25062.939453125,25166.560546875,25097.7109375
33,18,0,0,1,0,23421.080078125,25243.55078125,18505.5703125
28,13,0,0,1,0,24771.009765625,21333.48046875,14323.599609375
27,11,0,0,1,1,14267.3798828125,12829.4501953125,18693.240234375
33,12,0,0,0,0,25862.3203125,25243.55078125,21944.240234375
26,12,0,0,1,0,16822.259765625,19978.2109375,20015.810546875
24,12,0,0,1,0,16103.2099609375,8922.9677734375,16470.740234375
28,8,0,0,1,1,16450,18300.6796875,23494.369140625
36,12,0,0,1,0,23912.849609375,23274.189453125,25378.48046875
42,12,0,0,1,0,21473.560546875,22060.349609375,23426.400390625
16,10,0,0,0,1,0,0,1399.406982421875
53,14,0,0,1,0,22995.91015625,16304.4697265625,0
52,10,0,0,1,1,17329.7109375,16193.4697265625,20247.810546875
22,12,0,0,0,0,0,0,0
55,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
26,14,0,0,1,0,9927.60546875,13396.98046875,10757.849609375
38,12,0,0,1,0,2400.10205078125,0,0
43,12,0,0,1,0,14328.1201171875,3453.531982421875,18781.900390625
55,7,0,0,1,1,18660.060546875,16768.16015625,19438.01953125
49,10,0,0,1,1,24083.310546875,22758.580078125,25232.1796875
20,12,0,0,0,0,9578.85546875,15727.98046875,18666.640625
18,10,0,0,0,1,0,0,6478.35302734375
31,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
54,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
28,12,0,0,1,0,20676.140625,4072.98388671875,17289.400390625
24,12,0,0,1,0,18979.419921875,20959.310546875,17657.349609375
21,8,0,0,0,1,18432.779296875,6778.1611328125,9376.1748046875
39,8,0,0,1,1,24163.640625,20937.8203125,25564.669921875
28,12,0,0,1,0,23569.98046875,21926.080078125,25564.669921875
40,12,0,0,1,0,25862.3203125,25243.55078125,23653.970703125
38,7,0,0,1,1,22306.25,18866.419921875,22192.5
16,10,0,0,0,1,0,520.98388671875,9925.888671875
43,12,0,0,1,0,0,0,0
49,12,0,0,1,0,24812.150390625,23202.580078125,21153.66015625
28,14,0,0,0,0,19316.41015625,18626.51953125,20002.509765625
22,12,0,0,0,0,15341.0595703125,14904.4404296875,25564.669921875
39,12,0,0,1,0,7455.009765625,8512.984375,9862.3466796875
27,16,0,0,1,0,21062.119140625,24824.609375,12514.8701171875
21,12,0,0,0,0,15658.4599609375,8115.5322265625,15937.2802734375
48,11,0,0,1,1,25862.3203125,25243.55078125,23724.900390625
30,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
20,12,0,0,1,0,11510.6904296875,8185.35498046875,10026.3701171875
20,13,0,0,0,0,0,630.1934814453125,13858.1201171875
18,12,0,0,0,0,658.3135986328125,1432.258056640625,0
23,12,0,1,0,0,5817.06298828125,18105.529296875,8876.7041015625
33,12,0,0,1,0,18303.470703125,13875,12640.4697265625
31,12,0,0,1,0,21610.7109375,21537.580078125,25564.669921875
28,12,1,0,0,0,4700.28076171875,0,731.47467041015625
30,14,0,0,0,0,0,0,0
23,13,1,0,0,0,172.41549682617188,272.1289978027344,582.22430419921875
38,12,0,0,1,0,10384.1103515625,11637.099609375,15959.4501953125
37,12,1,0,1,0,18826.58984375,21573.390625,18147.9609375
16,10,0,0,0,1,658.3135986328125,630.1934814453125,5127.7109375
18,10,0,0,0,1,0,2474.22607421875,0
47,9,0,0,1,1,19978.640625,19203,23970.19921875
17,9,0,0,0,1,0,3992.4189453125,10248.0302734375
35,12,1,0,1,0,17241.55078125,15717.240234375,18050.4296875
19,7,0,1,0,1,1250.011962890625,0,8199.9052734375
36,9,1,0,1,1,18904.970703125,18938.029296875,10997.240234375
41,8,0,0,1,1,0,0,0
54,12,0,0,1,0,0,0,0
51,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
55,15,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
29,16,0,0,1,0,1657.5400390625,5129.27392578125,8808.7275390625
46,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
30,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
28,14,1,0,1,0,23039.01953125,22575.970703125,23093.91015625
48,12,1,0,1,0,24196.94921875,22110.48046875,21899.91015625
26,11,1,0,0,1,20834.83984375,19444.689453125,21891.0390625
32,12,0,0,1,0,25862.3203125,25243.55078125,23587.470703125
50,12,0,0,1,0,0,0,0
20,11,0,0,0,1,11207.009765625,12424.83984375,13012.8603515625
21,12,0,0,0,0,11647.83984375,14832.8203125,20666.009765625
20,9,0,0,0,1,4298.630859375,8797.64453125,8962.412109375
32,4,0,1,0,1,14819.8896484375,15457.650390625,12033.1298828125
46,12,0,0,1,0,0,0,0
18,12,0,0,0,0,2360.916015625,1752.7259521484375,2748.571044921875
51,12,0,0,1,0,22355.23046875,21793.599609375,3250.998046875
32,15,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
26,16,0,0,1,0,8375.8662109375,10607.66015625,4047.492919921875
24,15,0,0,0,0,1058.0040283203125,0,9436.76171875
46,8,0,0,1,1,24001.01953125,23990.3203125,3923.364013671875
21,16,0,0,0,0,0,0,20668.9609375
32,16,0,0,1,0,25033.55078125,25243.55078125,25564.669921875
30,18,0,0,0,0,25862.3203125,9657,7725.55517578125
25,18,0,0,1,0,5364.47314453125,8772.5810546875,25564.669921875
51,12,0,0,1,0,20754.509765625,19199.419921875,22566.359375
21,9,0,1,1,1,7249.287109375,9968.515625,16627.380859375
34,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
29,5,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
52,12,0,0,1,0,9051.8134765625,4978.88720703125,0
21,14,0,0,0,0,8489.5029296875,10167.240234375,0
17,10,0,0,0,1,3520.802001953125,4336.1611328125,0
50,8,0,1,0,1,14892.3896484375,13348.650390625,10791.83984375
21,11,1,0,0,1,1890.6920166015625,1369.5970458984375,16685.009765625
49,12,0,1,1,0,21365.80078125,21023.759765625,25045.990234375
23,18,0,1,0,0,0,0,0
17,12,0,1,0,0,946.325927734375,1378.5479736328125,0
52,3,1,0,1,1,12688.2099609375,12655.7900390625,9377.6533203125
47,4,0,1,1,1,8889.193359375,12297.73046875,17076.609375
24,4,0,1,1,1,8426.806640625,17034.919921875,25279.470703125
29,12,0,0,0,0,0,0,0
49,12,0,0,1,0,6297.083984375,4253.80615234375,10169.7099609375
55,12,0,0,1,0,25862.3203125,25243.55078125,564.4915771484375
28,12,0,0,0,0,25525.330078125,25243.55078125,25564.669921875
19,13,0,0,0,0,3871.510986328125,4916.22607421875,1687.56396484375
35,16,0,0,0,0,25803.5390625,25243.55078125,25564.669921875
31,12,0,0,1,0,20572.30078125,18916.55078125,15102.3701171875
44,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
54,11,0,0,1,1,24312.5390625,24692.130859375,0
37,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
46,12,0,0,1,0,11978.9599609375,10460.849609375,8331.421875
29,12,1,0,1,0,18107.5390625,14136.3896484375,16046.6298828125
55,12,0,0,1,0,16109.08984375,14002.1103515625,14682.6904296875
22,12,0,0,0,0,15956.26953125,17423.419921875,22739.259765625
18,11,0,0,0,1,0,309.7257995605469,16760.369140625
32,13,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
51,12,0,0,1,0,101.88189697265625,0,0
49,12,0,0,1,0,25862.3203125,14965.3095703125,24521.390625
27,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
19,13,0,0,0,0,10147.0400390625,10546.7900390625,5906.47314453125
38,3,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
40,12,0,0,1,0,23360.33984375,22221.48046875,25564.669921875
21,12,0,0,0,0,6344.10595703125,6719.0810546875,25012
29,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
39,12,0,0,1,0,25862.3203125,25243.55078125,0
39,12,1,0,1,0,25862.3203125,25243.55078125,25564.669921875
34,14,0,0,1,0,9580.8154296875,14881.16015625,25564.669921875
26,17,0,0,1,0,25862.3203125,21503.560546875,0
40,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
31,14,0,0,0,0,2188.5009765625,4937.7099609375,2358.451904296875
28,17,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
17,11,0,0,0,1,0,1033.0159912109375,6345.35791015625
35,12,1,0,1,0,21689.080078125,21542.94921875,21033.9609375
34,15,0,1,1,0,18632.630859375,24520.259765625,0
44,8,0,0,1,1,25862.3203125,17681.23046875,20612.810546875
54,8,0,0,1,1,25276.5,22241.1796875,25564.669921875
30,10,0,1,1,1,25860.359375,25243.55078125,25564.669921875
39,14,1,0,0,0,0,0,0
29,12,0,0,1,0,20901.4609375,20728.349609375,24746.009765625
25,10,0,0,1,1,8656.041015625,5147.1767578125,10666.23046875
42,5,0,1,1,1,20868.150390625,18741.099609375,22304.80078125
48,6,0,1,1,1,14657.26953125,18250.55078125,17763.75
25,6,0,1,1,1,17055.419921875,14986.7900390625,0
49,11,0,0,1,1,25862.3203125,25243.55078125,25564.669921875
38,12,0,0,0,0,10674.08984375,9964.9345703125,10388.419921875
38,15,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
31,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
41,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
25,13,0,0,1,0,17204.3203125,11638.8896484375,25564.669921875
48,18,0,0,1,0,7025.93115234375,7435.2099609375,0
21,14,0,0,0,0,6447.94677734375,15266.080078125,11804.080078125
20,14,0,0,0,0,266.4602966308594,1047.3389892578125,10700.2197265625
54,14,0,0,0,0,11322.599609375,6228.5322265625,1324.04296875
41,8,0,0,1,1,25133.470703125,19548.529296875,25564.669921875
49,7,0,0,0,1,11926.0595703125,2365.01611328125,1907.7449951171875
46,6,0,1,1,1,10344.9296875,11287.98046875,13003.990234375
18,11,0,1,0,1,0,386.7096862792969,16559.400390625
30,10,0,0,1,1,25862.3203125,22429.16015625,22366.869140625
39,12,0,0,1,0,7161.1201171875,15704.7099609375,16880.0703125
17,10,0,0,0,1,646.5579833984375,0,9438.240234375
28,12,0,0,1,0,16067.9501953125,12421.259765625,21403.390625
29,12,0,0,1,0,12860.6298828125,13210.7900390625,8612.1904296875
39,12,0,0,1,0,25862.3203125,25103.900390625,24562.76953125
38,7,0,0,1,1,14829.6904296875,15804.9697265625,16763.330078125
29,12,0,0,1,0,12304.2001953125,11995.16015625,12548.849609375
39,14,0,0,1,0,22948.890625,20875.16015625,21966.41015625
18,11,0,0,0,1,327.1976013183594,0,964.95550537109375
46,12,0,0,1,0,0,0,0
17,10,0,0,0,1,101.88189697265625,0,474.3501892089844
47,8,0,0,1,1,18368.130859375,16381.4501953125,25564.669921875
24,17,0,0,0,0,989.4296875,4687.06494140625,1028.498046875
30,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
42,7,0,0,1,1,10971.8896484375,5806.01611328125,9241.7021484375
27,16,0,0,1,0,23569.98046875,20694.33984375,25564.669921875
50,12,0,0,1,0,25862.3203125,0,25564.669921875
39,14,0,0,1,0,20507.650390625,22004.849609375,23498.810546875
32,12,0,0,1,0,23411.279296875,0,0
39,18,0,0,0,0,0,0,0
35,18,0,0,0,0,11828.08984375,9146.7578125,7313.26904296875
37,8,0,0,1,1,13162.349609375,13454.26953125,13402.98046875
52,13,0,0,1,0,3136.785888671875,4090.886962890625,0
40,15,0,0,1,0,0,0,0
29,16,0,0,0,0,462.3869934082031,1469.85498046875,3935.18603515625
17,10,0,0,0,1,0,1228.1610107421875,5380.40185546875
43,9,0,0,1,1,25862.3203125,25243.55078125,0
51,16,0,0,1,0,0,0,0
20,12,1,0,0,0,8060.423828125,13151.7099609375,16512.119140625
52,8,0,0,1,1,10866.08984375,13345.0595703125,13197.580078125
43,12,0,0,1,0,16303.0595703125,14752.259765625,11965.150390625
55,11,0,0,1,1,19383.029296875,21131.1796875,21251.189453125
31,13,0,0,1,0,13019.330078125,10566.48046875,10446.0498046875
29,13,0,0,0,0,16005.25,10339.1103515625,12599.099609375
26,12,0,0,0,0,12923.3203125,7290.19384765625,11323.8203125
43,12,0,0,1,0,19567.19921875,19460.810546875,24143.099609375
18,12,0,0,0,0,0,408.1935119628906,21608.80078125
38,12,0,0,1,0,21434.380859375,23378.029296875,21710.759765625
54,14,0,0,1,0,19202.76953125,19437.529296875,20215.30078125
26,18,0,0,0,0,403.6090087890625,10664.9501953125,11684.3798828125
41,12,0,0,1,0,23187.919921875,24692.130859375,25277.990234375
43,12,0,0,1,0,76.411407470703125,0,0
24,14,0,0,1,0,13217.2099609375,14344.0595703125,14545.259765625
45,12,0,0,1,0,10560.4501953125,11606.66015625,12723.23046875
45,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
32,12,0,0,1,0,19678.880859375,19707.869140625,23389.4609375
42,12,0,0,0,0,10188.1904296875,15602.66015625,0
34,10,0,0,0,1,8119.2021484375,4687.06494140625,20658.619140625
30,12,0,0,1,0,9964.8310546875,9096.62890625,8253.1025390625
26,5,0,0,1,1,1573.291015625,0,3700.22705078125
28,12,0,0,1,0,0,5714.7099609375,1870.802001953125
27,7,0,0,1,1,22719.66015625,18823.44921875,25564.669921875
37,12,0,0,1,0,22619.740234375,21077.470703125,19964.08984375
33,12,0,0,1,0,17317.9609375,25243.55078125,25564.669921875
16,10,0,0,0,1,139.10789489746094,760.8870849609375,5829.630859375
46,12,0,0,1,0,18256.44921875,11934.2900390625,14138.8896484375
41,12,0,0,1,0,17063.25,16266.8701171875,17842.0703125
46,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
50,18,0,0,1,0,19641.650390625,20252.130859375,25564.669921875
49,9,0,0,1,1,18146.73046875,16614.189453125,13434.009765625
34,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875
55,12,0,0,1,0,5770.041015625,8817.3388671875,22740.73046875
16,10,0,0,0,1,0,0,7322.134765625
39,12,0,0,1,0,24424.220703125,21163.400390625,25564.669921875
32,12,0,0,1,0,16996.640625,13833.8203125,0
46,6,0,0,1,1,0,0,0
33,12,0,0,1,0,3009.43408203125,12954.76953125,398.9862060546875
38,10,0,0,1,1,25862.3203125,25141.5,22915.109375
51,12,1,0,0,0,838.56622314453125,0,0
31,13,0,0,1,0,9668.982421875,10161.8701171875,0
47,12,0,0,1,0,0,0,0
19,12,0,0,0,0,875.79229736328125,2347.113037109375,962
23,12,0,0,1,0,0,1663.2099609375,3583.487060546875
45,12,0,0,1,0,8987.1572265625,10666.740234375,8096.4638671875
26,16,0,0,1,0,16391.23046875,16977.630859375,18272.08984375
36,10,0,0,1,1,3638.35791015625,3483.968017578125,4588.3408203125
28,12,0,0,1,0,14600.4599609375,9078.7255859375,17330.779296875
40,12,0,0,1,0,21436.33984375,22703.080078125,21286.650390625
32,12,0,0,1,0,13728.580078125,15230.26953125,16531.330078125
39,12,0,0,1,0,23965.75,24187.259765625,25477.48046875
42,12,0,0,1,0,13665.8896484375,12310.259765625,25564.669921875
52,12,0,0,1,0,25862.3203125,24650.94921875,24883.439453125
48,12,0,0,1,0,0,0,0
20,12,0,0,0,0,13021.2900390625,15190.8896484375,19763.119140625
28,10,0,0,1,1,20464.5390625,3614.660888671875,15928.41015625
25,13,0,0,1,0,24247.890625,25243.55078125,25564.669921875
52,8,0,0,0,1,18125.1796875,17883.529296875,1885.5789794921875
21,14,0,0,0,0,7413.8662109375,8409.14453125,20841.859375
34,12,0,0,1,0,21299.189453125,19009.650390625,18572.0703125
27,14,0,0,1,0,12490.330078125,12979.83984375,18573.55078125
44,12,0,0,1,0,23844.279296875,5030.80615234375,0
