institution,state,region,ownership,hbcu,predominetly_black_institution,admission_rate,sat_verbal_first_quartile,sat_verbal_median,sat_verbal_third_quartile,sat_math_first_quartile,sat_math_median,sat_math_third_quartile,online_only,n_students,n_students_white,n_students_black,n_students_hispanic,n_students_asian,n_students_native,share_low_income,avg_cost_attendance,tuition_in_state,tuition_out_of_state,completion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_native,load_default_rate_2yr,load_default_rate_3yr,mean_earnings_10yr_after,median_earnings_10yr_after
University of Arkansas at Little Rock,AR,5,Public,0,0,0.6146,480,555,620,490,545,600,In-person,4802,0.4933,0.2597,0.0344,0.0217,0.0104,0.5283068093,21300,8366,18957,0.4193,0.423,0.30620000000000003,0.4615,0.7353,0.3333,0.084,0,39500,45265
University of Arkansas for Medical Sciences,AR,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1287,0.6076,0.1181,0.0925,0.0808,0.0047,0.4975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,0,69000,73827
Arkansas Baptist College,AR,5,Private nonprofit,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,497,0.0342,0.839,0.0805,0,0.004,0.776,22715,8760,8760,0.0827,0.125,0.0779,0.2,0,NA,0.274,0,25100,28418
Lyon College,AR,5,Private nonprofit,0,0,0.5984,NA,555,NA,NA,568,NA,In-person,489,0.5112,0.0613,0.0327,0.0123,0.0061,0.3305785124,44749,31000,31000,0.3831,0.3974,0.0833,0.5385,0.6,0.3333,0.052,0,44800,44232
University of Arkansas,AR,5,Public,0,0,0.7893,520,575,610,510,560,610,In-person,26002,0.7421,0.0429,0.1068,0.028,0.0082,0.2607167955,24611,9656,27410,0.6919,0.7044,0.6154,0.6298,0.7377,0.5641,0.049,0,52700,58191
University of Arkansas at Pine Bluff,AR,5,Public,1,0,0.6933,425,464,525,380,449,520,In-person,2155,0.026,0.9021,0.026,0.0028,0.0051,0.6144721234,19968,8668,15838,0.4115,0.45,0.406,0.3333,0.5,0,0.213,0,30600,35550
Arkansas State University,AR,5,Public,0,0,0.6951,470,550,610,510,565,590,In-person,7463,0.6873,0.1443,0.0472,0.01,0.0025,0.4450660103,21176,7456,13312,0.5281,0.5745,0.4286,0.5,0.6429,0.4286,0.112,0,36600,42617
Arkansas Tech University,AR,5,Public,0,0,0.9439,480,NA,620,510,NA,560,In-person,6108,0.7205,0.0706,0.1074,0.018,0.0079,0.4652429723,20919,8071,13891,0.4887,0.5245,0.1677,0.5379,0.5238,0.4375,0.14,0,38600,41766
University of Arkansas at Monticello,AR,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1819,0.5465,0.2908,0.0825,0.0016,0.0022,0.5853018373,19068,8431,14281,0.3865,0.4733,0.2384,0.4118,0.5,NA,0.181,0,35800,36902
University of Central Arkansas,AR,5,Public,0,0,0.9121,460,550,570,480,520,560,In-person,7563,0.6508,0.1731,0.0673,0.0213,0.0036,0.420535495,23167,9778,16728,0.5008,0.5354,0.4128,0.486,0.7727,0.5556,0.067,0,42500,45938
Central Baptist College,AR,5,Private nonprofit,0,0,0.6394,418,519,525,423,501,558,In-person,489,0.5971,0.1656,0.0982,0.0082,0.0082,0.3877068558,28293,17700,17700,0.392,0.4516,0.0476,0.4286,1,1,0.089,0,43000,46789
Crowley's Ridge College,AR,5,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,171,0.807,0.1754,0.0058,0,0.0058,0.3594771242,23894,15000,15000,0.3095,0.2987,0.3333,1,NA,NA,0.188,0,29600,39533
Harding University,AR,5,Private nonprofit,0,0,0.4512,530,595,660,510,580,640,In-person,3198,0.7892,0.051,0.0453,0.0153,0.0041,0.214138641,34168,23148,23148,0.6947,0.7019,0.4167,0.6897,0.875,0.6667,0.029,0,47000,52876
Henderson State University,AR,5,Public,0,0,0.7066,445,527,523,458,538,550,In-person,1800,0.6183,0.2222,0.0728,0.0183,0.0111,0.4818861415,26032,7560,9768,0.3922,0.4547,0.25,0.4286,0.5,0.4,0.117,0,40400,43459
Hendrix College,AR,5,Private nonprofit,0,0,0.6028,580,620,680,553,595,648,In-person,1127,0.6877,0.0745,0.0914,0.0319,0.008,0.2341269841,49928,35100,35100,0.6857,0.6732,0.8077,0.6316,0.7,1,0.05,0,44500,60376
John Brown University,AR,5,Private nonprofit,0,0,0.5664,570,608,710,530,603,680,In-person,1354,0.7075,0.0133,0.0938,0.0199,0.017,0.2805194805,42128,29720,29720,0.7121,0.7309,0.5,0.6842,0.5,0.6667,0.04,0,55400,53907
Ouachita Baptist University,AR,5,Private nonprofit,0,0,0.7232,520,NA,610,500,NA,590,In-person,1587,0.8009,0.0643,0.0592,0.012,0.0032,0.2260596546,43878,31180,31180,0.6506,0.6925,0.3056,0.6364,0,0.5,0.055,0,46000,51673
University of the Ozarks,AR,5,Private nonprofit,0,0,0.6008,490,520,590,470,520,560,In-person,767,0.4237,0.0626,0.1343,0.013,0.0065,0.393258427,35272,25950,25950,0.4096,0.3918,0.3125,0.4,0,0.75,0.112,0,38600,44384
Philander Smith College,AR,5,Private nonprofit,1,0,NA,NA,NA,NA,NA,NA,NA,In-person,766,0.0065,0.8473,0.0131,0,0,0.69348659,25951,13014,13014,0.3047,NA,0.2926,1,NA,NA,0.141,0,27300,38427
Williams Baptist University,AR,5,Private nonprofit,0,0,0.5931,415,495,555,545,478,615,In-person,556,0.804,0.0737,0.018,0.0018,0,0.3615384615,30718,19450,19450,0.4495,0.5263,0.3333,0.5,NA,NA,0.076,0,36400,38484
Southern Arkansas University Main Campus,AR,5,Public,0,0,0.6361,460,515,595,445,520,595,In-person,2787,0.6261,0.2257,0.0657,0.0068,0.0032,0.4877232143,24242,9680,15110,0.4454,0.4856,0.3131,0.4545,0.6,0.5714,0.126,0,39000,42386
University of Arkansas-Fort Smith,AR,5,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,4143,0.5904,0.0401,0.1764,0.0524,0.0239,0.4976005906,17947,6168,13440,0.4208,0.4395,0.3514,0.3846,0.5,0.32,0.197,0,35000,41102
Academy of Art University,CA,8,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,4485,0.2245,0.1072,0.1737,0.062,0.0042,0.5880630631,44484,26728,26728,0.4385,0.4182,0.3103,0.3864,0.4167,0.6667,0.109,0,47300,39008
Academy of Chinese Culture and Health Sciences,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,NA,NA
Berkeley School of Theology,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,19,0.0526,0.3158,0.3158,0.0526,0,PS,NA,2896,2896,NA,NA,NA,NA,NA,NA,0.111,0.031,NA,NA
American Film Institute Conservatory,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0,NA,NA
Antelope Valley Community College District,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,10191,0.1458,0.122,0.6379,0.0376,0.002,0.7431132844,9507,1124,7724,0.3036,0.3524,0.1395,0.3002,0.3846,NA,0.193,0,34500,36526
Art Center College of Design,CA,8,Private nonprofit,0,0,0.7097,NA,NA,NA,NA,NA,NA,In-person,2113,0.1041,0.0123,0.0975,0.3034,5e-4,0.4801444043,70276,49942,49942,0.7547,0.6552,0.6667,0.7778,0.7805,NA,0.051,0,62300,71958
Azusa Pacific University,CA,8,Private nonprofit,0,0,0.87,510,561,630,470,556,610,In-person,3344,0.2793,0.0646,0.3765,0.134,0.0033,0.3517041334,54157,42330,42330,0.6127,0.6716,0.3404,0.5452,0.71,0.75,0.037,0,55900,66677
Bakersfield College,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,18098,0.1626,0.0592,0.6918,0.0399,0.0031,0.6982037402,13920,1430,9560,0.2223,0.2837,0.1839,0.203,0.2568,0.4286,0.195,0,36000,37291
Bethesda University,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,181,0.0442,0.0884,0.221,0.0608,0,0.71875,23846,6560,6560,0,0,0,0,NA,NA,0.071,0,PS,NA
Biola University,CA,8,Private nonprofit,0,0,0.5663,565,626,695,540,600,670,In-person,3474,0.4171,0.0285,0.2216,0.1422,0.002,0.2748143147,57785,44382,44382,0.7206,0.7807,0.35,0.6444,0.7,0.6667,0.016,0,50700,56778
Bryan University,AZ,6,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1767,0.4437,0.2207,0.0713,0.0125,0.0096,0.7354965585,23399,12184,12184,0.325,0.3475,0.2857,0.4483,0.3333,0,0.027,0,36100,40283
California Institute of Integral Studies,CA,8,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,87,0.5057,0.1034,0.1954,0.0345,0,0.6705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,0.003,PS,48848
California Baptist University,CA,8,Private nonprofit,0,0,0.7992,NA,NA,NA,NA,NA,NA,In-person,8077,0.3449,0.0675,0.4047,0.0613,0.0054,0.3549390718,49531,38058,38058,0.6325,0.7546,0.4333,0.563,0.7091,0.5,0.044,0,47500,61504
California College of the Arts,CA,8,Private nonprofit,0,0,0.7569,NA,NA,NA,NA,NA,NA,In-person,1134,0.1966,0.0362,0.1473,0.1508,0.0026,0.4243243243,74618,54706,54706,0.7216,0.5526,0.4737,0.7,0.7727,0,0.043,0,48000,49414
University of California-Hastings College of Law,CA,8,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0,137100,NA
California Institute of Technology,CA,8,Private nonprofit,0,0,0.0269,NA,NA,NA,NA,NA,NA,In-person,982,0.2118,0.0346,0.22,0.3442,0.001,0.347826087,79947,60864,60864,0.9404,0.9286,1,0.8667,0.9868,NA,0,0,106300,128566
California Lutheran University,CA,8,Private nonprofit,0,0,0.8718,580,595,660,570,595,660,In-person,2510,0.3817,0.0462,0.4004,0.055,0.0016,0.2868913858,60992,48012,48012,0.732,0.7288,0.6111,0.7588,0.8621,1,0.023,0,60200,68712
California Polytechnic State University-San Luis Obispo,CA,8,Public,0,0,0.3043,NA,NA,NA,NA,NA,NA,In-person,20976,0.5142,0.007,0.2148,0.1421,0.001,0.2438468551,29680,10319,28229,0.8547,0.8736,0.9231,0.7941,0.8759,0.8571,0.02,0,74300,90768
Alliant International University-San Diego,CA,8,Private for-profit,0,0,0,NA,NA,NA,NA,NA,NA,In-person,274,0.4891,0.0401,0.2701,0.0912,0.0036,0.6360759494,NA,13680,13680,NA,NA,NA,NA,NA,NA,0.016,0,65200,66666
California State University-Bakersfield,CA,8,Public,0,0,0.8655,NA,NA,NA,NA,NA,NA,In-person,8108,0.1269,0.0403,0.6829,0.0699,0.0026,0.5266055046,18410,7637,19517,0.4969,0.4969,0.4321,0.4899,0.6463,0.5,0.066,0,50100,59009
California State University-Stanislaus,CA,8,Public,0,0,0.9661,NA,NA,NA,NA,NA,NA,In-person,8836,0.1777,0.0244,0.6275,0.0894,0.0025,0.5093858633,16968,7734,19614,0.5526,0.6266,0.5556,0.5331,0.6061,0.6667,0.034,0,48500,63188
California State University-San Bernardino,CA,8,Public,0,0,0.9108,NA,NA,NA,NA,NA,NA,In-person,16712,0.1027,0.0503,0.7197,0.0562,0.0013,0.5391883707,18750,7486,19366,0.5442,0.5323,0.4465,0.5431,0.6609,0.5,0.063,0,48800,59977
California State Polytechnic University-Pomona,CA,8,Public,0,0,0.5538,NA,NA,NA,NA,NA,NA,In-person,25080,0.1364,0.0265,0.531,0.2263,0.0012,0.499261811,21655,7439,19319,0.6632,0.7579,0.5029,0.5998,0.7835,0.7143,0.028,0,58000,71902
California State University-Chico,CA,8,Public,0,0,0.95,NA,NA,NA,NA,NA,NA,In-person,12853,0.4321,0.0259,0.3776,0.0577,0.0039,0.4755025126,24766,7972,19852,0.6418,0.6944,0.4667,0.6063,0.5816,0.4,0.061,0,55400,64172
California State University-Dominguez Hills,CA,8,Public,0,0,0.8913,NA,NA,NA,NA,NA,NA,In-person,13903,0.048,0.1128,0.7171,0.0655,0.001,0.6452131939,14958,7060,18940,0.4646,0.4583,0.4444,0.476,0.5765,NA,0.088,0,48500,57162
California State University-Fresno,CA,8,Public,0,0,0.9543,NA,NA,NA,NA,NA,NA,In-person,20985,0.1594,0.0289,0.6131,0.1229,0.0028,0.5329844074,17508,6663,18543,0.5623,0.6552,0.3776,0.5705,0.5054,0.5556,0.05,0,48500,61244
California State University-Fullerton,CA,8,Public,0,0,0.6672,NA,NA,NA,NA,NA,NA,In-person,35249,0.155,0.0216,0.5231,0.2224,9e-4,0.5110886312,17337,7007,18887,0.693,0.7468,0.625,0.6571,0.7518,0.6,0.041,0,51800,62951
California State University-East Bay,CA,8,Public,0,0,0.962,NA,NA,NA,NA,NA,NA,In-person,10709,0.1544,0.091,0.4046,0.2278,0.0018,0.5572429907,20693,6995,18875,0.4552,0.5528,0.4425,0.4151,0.5619,0.5,0.036,0,58200,71401
California State University-Long Beach,CA,8,Public,0,0,0.3995,NA,NA,NA,NA,NA,NA,In-person,32780,0.1544,0.0356,0.4995,0.2197,0.0011,0.53167589,18983,6884,18764,0.7265,0.77,0.6216,0.704,0.7827,0.7143,0.043,0,53000,64403
California State University-Los Angeles,CA,8,Public,0,0,0.8694,NA,NA,NA,NA,NA,NA,In-person,22690,0.0443,0.0391,0.7569,0.1109,0.0011,0.6179345516,17010,6805,18685,0.5143,0.4571,0.3836,0.5052,0.6744,0,0.054,0,49900,59211
California State University-Northridge,CA,8,Public,0,0,0.9123,NA,NA,NA,NA,NA,NA,In-person,32103,0.1958,0.0493,0.5644,0.0914,6e-4,0.5885539658,19585,7069,18949,0.5599,0.6803,0.4111,0.5349,0.6644,0.25,0.056,0,49700,59115
California State University-Sacramento,CA,8,Public,0,0,0.9321,NA,NA,NA,NA,NA,NA,In-person,28544,0.2245,0.0645,0.3886,0.2039,0.0027,0.5203824424,21396,7484,19364,0.5446,0.5753,0.4303,0.5264,0.574,0.125,0.055,0,54200,64876
University of California-Berkeley,CA,8,Public,0,0,0.1133,NA,NA,NA,NA,NA,NA,In-person,32475,0.2026,0.0207,0.2035,0.3506,0.0011,0.4748053474,41130,14395,44467,0.9403,0.9522,0.8065,0.8747,0.9628,1,0.028,0,79000,92446
University of California-Davis,CA,8,Public,0,0,0.3734,NA,NA,NA,NA,NA,NA,In-person,31512,0.2117,0.0175,0.2401,0.3118,8e-4,0.4475215517,36975,14858,44930,0.8634,0.8754,0.7778,0.8047,0.9084,1,0.03,0,68100,80838
University of California-Irvine,CA,8,Public,0,0,0.2115,NA,NA,NA,NA,NA,NA,In-person,28651,0.1309,0.02,0.265,0.3809,0.0013,0.4282879506,34731,13939,44011,0.8661,0.8683,0.7731,0.8075,0.9206,1,0.023,0,65800,80735
