pollster,pollster_rating_538,start_date,end_date,date,sample_size,pct_harris,pct_trump
Morning Consult,-0.3,2024-10-26,2024-10-28,2024-10-28,9148,50,46
HarrisX,-0.1,2024-10-25,2024-10-28,2024-10-28,1717,50,50
HarrisX,-0.1,2024-10-25,2024-10-28,2024-10-28,1475,50,50
TIPP,-0.4,2024-10-25,2024-10-27,2024-10-27,1288,48,48
Morning Consult,-0.3,2024-10-25,2024-10-27,2024-10-27,8807,50,47
Ipsos,-0.9,2024-10-25,2024-10-27,2024-10-27,975,44,43
Ipsos,-0.9,2024-10-25,2024-10-27,2024-10-27,850,47,46
Ipsos,-0.9,2024-10-25,2024-10-27,2024-10-27,1150,40,41
Angus Reid,-0.1,2024-10-23,2024-10-27,2024-10-27,1928,49,47
Noble Predictive Insights,-0.4,2024-10-23,2024-10-27,2024-10-27,707,49,46
TIPP,-0.4,2024-10-24,2024-10-26,2024-10-26,1292,48,48
Morning Consult,-0.3,2024-10-24,2024-10-26,2024-10-26,8472,50,46
Cygnal,-1.1,2024-10-24,2024-10-26,2024-10-26,1507,49.9,46.9
TIPP,-0.4,2024-10-23,2024-10-25,2024-10-25,1333,48,48
YouGov,-1.1,2024-10-23,2024-10-25,2024-10-25,2154,50,49
Morning Consult,-0.3,2024-10-23,2024-10-25,2024-10-25,8443,50,46
CES / YouGov,-1.1,2024-10-01,2024-10-25,2024-10-25,78247,51,46
CES / YouGov,-1.1,2024-10-01,2024-10-25,2024-10-25,48732,51,47
Emerson,-1.1,2024-10-23,2024-10-24,2024-10-24,1000,49.3,49.3
TIPP,-0.4,2024-10-22,2024-10-24,2024-10-24,1357,49,47
Morning Consult,-0.3,2024-10-22,2024-10-24,2024-10-24,8669,50,46
TIPP,-0.4,2024-10-21,2024-10-23,2024-10-23,1294,50,47
Tufts,0,2024-10-21,2024-10-23,2024-10-23,1033,49,45
Tufts,0,2024-10-21,2024-10-23,2024-10-23,633,49,48
Morning Consult,-0.3,2024-10-21,2024-10-23,2024-10-23,8882,49,47
Siena/NYT,-1.5,2024-10-20,2024-10-23,2024-10-23,2516,48,48
CNN/SSRS,-0.6,2024-10-20,2024-10-23,2024-10-23,1704,47,47
Clarity,-0.2,2024-10-17,2024-10-23,2024-10-23,1314,55,46
HarrisX,-0.1,2024-10-21,2024-10-22,2024-10-22,1512,49,51
HarrisX,-0.1,2024-10-21,2024-10-22,2024-10-22,1244,49,51
TIPP,-0.4,2024-10-20,2024-10-22,2024-10-22,1294,49,47
Morning Consult,-0.3,2024-10-20,2024-10-22,2024-10-22,8914,50,46
YouGov,-1.1,2024-10-19,2024-10-22,2024-10-22,1422,48,46
YouGov,-1.1,2024-10-19,2024-10-22,2024-10-22,1293,49,46
Ipsos,-0.9,2024-10-18,2024-10-22,2024-10-22,2808,48,47
Ipsos,-0.9,2024-10-18,2024-10-22,2024-10-22,2392,49,47
Ipsos,-0.9,2024-10-18,2024-10-22,2024-10-22,1913,51,47
TIPP,-0.4,2024-10-19,2024-10-21,2024-10-21,1268,48,48
Morning Consult,-0.3,2024-10-19,2024-10-21,2024-10-21,8940,50,46
YouGov,-1.1,2024-10-18,2024-10-21,2024-10-21,1266,47,45
YouGov,-1.1,2024-10-18,2024-10-21,2024-10-21,1189,48,45
Monmouth,-0.9,2024-10-17,2024-10-21,2024-10-21,802,47,44
Ipsos,-0.9,2024-10-16,2024-10-21,2024-10-21,3481,46,43
Ipsos,-0.9,2024-10-16,2024-10-21,2024-10-21,3307,48,45
Ipsos,-0.9,2024-10-16,2024-10-21,2024-10-21,4129,41,39
TIPP,-0.4,2024-10-18,2024-10-20,2024-10-20,1244,47,48
Morning Consult,-0.3,2024-10-18,2024-10-20,2024-10-20,8570,50,46
TIPP,-0.4,2024-10-17,2024-10-19,2024-10-19,1254,47,49
Morning Consult,-0.3,2024-10-17,2024-10-19,2024-10-19,8170,50,46
Hart/POS,-0.7,2024-10-15,2024-10-19,2024-10-19,1000,46,48
TIPP,-0.4,2024-10-16,2024-10-18,2024-10-18,1223,48,47
Morning Consult,-0.3,2024-10-16,2024-10-18,2024-10-18,8204,50,46
Suffolk,-1,2024-10-14,2024-10-18,2024-10-18,1000,49.7,48.7
TIPP,-0.4,2024-10-15,2024-10-17,2024-10-17,1257,49,47
Morning Consult,-0.3,2024-10-15,2024-10-17,2024-10-17,8484,50,46
AtlasIntel,-0.8,2024-10-12,2024-10-17,2024-10-17,4180,48.1,50.8
YouGov,-1.1,2024-10-07,2024-10-17,2024-10-17,1500,51,46
TIPP,-0.4,2024-10-14,2024-10-16,2024-10-16,1228,49,46
Emerson,-1.1,2024-10-14,2024-10-16,2024-10-16,1000,49.5,49.2
RMG Research,-0.4,2024-10-14,2024-10-16,2024-10-16,2950,50,49
Morning Consult,-0.3,2024-10-14,2024-10-16,2024-10-16,8756,50,46
UMass Amherst/YouGov,-0.4,2024-10-11,2024-10-16,2024-10-16,1412,48,46
TIPP,-0.4,2024-10-13,2024-10-15,2024-10-15,1248,50,46
Morning Consult,-0.3,2024-10-13,2024-10-15,2024-10-15,8839,50,46
YouGov,-1.1,2024-10-12,2024-10-15,2024-10-15,1457,48,45
YouGov,-1.1,2024-10-12,2024-10-15,2024-10-15,1314,49,45
TIPP,-0.4,2024-10-12,2024-10-14,2024-10-14,1198,49,46
Morning Consult,-0.3,2024-10-12,2024-10-14,2024-10-14,8929,50,46
Beacon/Shaw,-1.1,2024-10-11,2024-10-14,2024-10-14,1110,48,50
Beacon/Shaw,-1.1,2024-10-11,2024-10-14,2024-10-14,870,48,50
Fairleigh Dickinson,-0.6,2024-10-08,2024-10-14,2024-10-14,806,50,47
TIPP,-0.4,2024-10-11,2024-10-13,2024-10-13,1212,49,46
HarrisX/Harris Poll,-0.1,2024-10-11,2024-10-13,2024-10-13,2596,51,49
HarrisX/Harris Poll,-0.1,2024-10-11,2024-10-13,2024-10-13,3145,51,49
Morning Consult,-0.3,2024-10-11,2024-10-13,2024-10-13,8647,50,46
Ipsos,-0.9,2024-10-11,2024-10-13,2024-10-13,807,45,42
Ipsos,-0.9,2024-10-11,2024-10-13,2024-10-13,769,47,44
Ipsos,-0.9,2024-10-11,2024-10-13,2024-10-13,938,41,37
Morning Consult,-0.3,2024-10-10,2024-10-12,2024-10-12,8901,50,46
Morning Consult,-0.3,2024-10-09,2024-10-11,2024-10-11,8902,50,46
HarrisX,-0.1,2024-10-09,2024-10-11,2024-10-11,2010,51,49
HarrisX,-0.1,2024-10-09,2024-10-11,2024-10-11,1692,51,49
HarrisX,-0.1,2024-10-09,2024-10-11,2024-10-11,1622,51,49
YouGov,-1.1,2024-10-08,2024-10-11,2024-10-11,2712,51,48
Morning Consult,-0.3,2024-10-08,2024-10-10,2024-10-10,9556,50,46
Marist,-0.9,2024-10-08,2024-10-10,2024-10-10,1401,52,47
Marist,-0.9,2024-10-08,2024-10-10,2024-10-10,1708,51,48
RMG Research,-0.4,2024-10-07,2024-10-10,2024-10-10,2945,50,47
Marquette Law School,-1.1,2024-10-01,2024-10-10,2024-10-10,780,50,50
Marquette Law School,-1.1,2024-10-01,2024-10-10,2024-10-10,652,50,50
Morning Consult,-0.3,2024-10-07,2024-10-09,2024-10-09,10188,50,46
Morning Consult,-0.3,2024-10-06,2024-10-08,2024-10-08,10812,50,46
Hart/POS,-0.7,2024-10-04,2024-10-08,2024-10-08,1000,48,48
Ipsos,-0.9,2024-10-04,2024-10-08,2024-10-08,2631,50,49
Ipsos,-0.9,2024-10-04,2024-10-08,2024-10-08,2226,50,49
Ipsos,-0.9,2024-10-04,2024-10-08,2024-10-08,1714,51,48
YouGov,-1.1,2024-10-06,2024-10-07,2024-10-07,1414,47,44
YouGov,-1.1,2024-10-06,2024-10-07,2024-10-07,1230,49,45
Morning Consult,-0.3,2024-10-05,2024-10-07,2024-10-07,11739,51,45
Ipsos,-0.9,2024-10-04,2024-10-07,2024-10-07,1272,48,47
Ipsos,-0.9,2024-10-04,2024-10-07,2024-10-07,1076,51,49
Research Co.,-0.5,2024-10-04,2024-10-06,2024-10-06,1001,49,45
Morning Consult,-0.3,2024-10-04,2024-10-06,2024-10-06,11353,51,46
Pew,-0.4,2024-09-30,2024-10-06,2024-10-06,4025,50,49
Siena/NYT,-1.5,2024-09-29,2024-10-06,2024-10-06,3385,49,46
Morning Consult,-0.3,2024-10-03,2024-10-05,2024-10-05,10844,51,45
TIPP,-0.4,2024-10-02,2024-10-04,2024-10-04,997,49,46
YouGov,-1.1,2024-10-02,2024-10-04,2024-10-04,1150,46,45
YouGov,-1.1,2024-10-02,2024-10-04,2024-10-04,1032,48,46
YouGov,-1.1,2024-10-02,2024-10-04,2024-10-04,1151,48,46
YouGov,-1.1,2024-10-02,2024-10-04,2024-10-04,1033,49,46
Morning Consult,-0.3,2024-10-02,2024-10-04,2024-10-04,10454,51,45
Noble Predictive Insights,-0.4,2024-10-02,2024-10-04,2024-10-04,2290,49,47
Noble Predictive Insights,-0.4,2024-10-02,2024-10-04,2024-10-04,2560,47,46
Data for Progress,-1.2,2024-10-02,2024-10-03,2024-10-03,1211,49,46
Cygnal,-1.1,2024-10-02,2024-10-03,2024-10-03,1500,50.3,47
Morning Consult,-0.3,2024-10-01,2024-10-03,2024-10-03,10775,50,45
RMG Research,-0.4,2024-09-30,2024-10-03,2024-10-03,2965,49,49
Morning Consult,-0.3,2024-09-30,2024-10-02,2024-10-02,11085,50,45
YouGov,-1.1,2024-09-29,2024-10-01,2024-10-01,1463,48,45
YouGov,-1.1,2024-09-29,2024-10-01,2024-10-01,1261,49,46
Emerson,-1.1,2024-09-29,2024-10-01,2024-10-01,1000,50.2,48.6
Morning Consult,-0.3,2024-09-29,2024-10-01,2024-10-01,11274,50,46
Marist,-0.9,2024-09-27,2024-10-01,2024-10-01,1294,50,48
Marist,-0.9,2024-09-27,2024-10-01,2024-10-01,1514,50,47
Susquehanna,-0.3,2024-09-23,2024-10-01,2024-10-01,1001,49,44
Morning Consult,-0.3,2024-09-28,2024-09-30,2024-09-30,11568,50,46
Morning Consult,-0.3,2024-09-27,2024-09-29,2024-09-29,11381,51,46
Leger,0,2024-09-27,2024-09-29,2024-09-29,837,51,47
Leger,0,2024-09-27,2024-09-29,2024-09-29,888,50,48
Morning Consult,-0.3,2024-09-26,2024-09-28,2024-09-28,11289,50,45
Morning Consult,-0.3,2024-09-25,2024-09-27,2024-09-27,11003,50,45
McCourtney Institute/YouGov,-1.1,2024-09-23,2024-09-27,2024-09-27,848,48,45
Morning Consult,-0.3,2024-09-24,2024-09-26,2024-09-26,11155,50,45
Echelon Insights,-0.8,2024-09-23,2024-09-25,2024-09-25,1005,52,45
RMG Research,-0.4,2024-09-23,2024-09-25,2024-09-25,2952,50,48
Morning Consult,-0.3,2024-09-23,2024-09-25,2024-09-25,10966,51,45
Morning Consult,-0.3,2024-09-22,2024-09-24,2024-09-24,11167,51,45
YouGov,-1.1,2024-09-21,2024-09-24,2024-09-24,1424,47,44
YouGov,-1.1,2024-09-21,2024-09-24,2024-09-24,1220,49,46
Clarity,-0.2,2024-09-19,2024-09-24,2024-09-24,1000,58,44
Morning Consult,-0.3,2024-09-21,2024-09-23,2024-09-23,11157,51,45
HarrisX,-0.1,2024-09-20,2024-09-23,2024-09-23,1011,52,48
Morning Consult,-0.3,2024-09-20,2024-09-22,2024-09-22,11057,50,45
Ipsos,-0.9,2024-09-20,2024-09-22,2024-09-22,871,46.61,40.48
Ipsos,-0.9,2024-09-20,2024-09-22,2024-09-22,785,50,44
Ipsos,-0.9,2024-09-20,2024-09-22,2024-09-22,1029,42,38
CNN/SSRS,-0.6,2024-09-19,2024-09-22,2024-09-22,2074,48,47
Quinnipiac,-0.5,2024-09-19,2024-09-22,2024-09-22,1728,48,48
Morning Consult,-0.3,2024-09-19,2024-09-21,2024-09-21,10840,50,45
YouGov,-1.1,2024-09-18,2024-09-20,2024-09-20,3129,52,48
Morning Consult,-0.3,2024-09-18,2024-09-20,2024-09-20,10539,49,46
Morning Consult,-0.3,2024-09-17,2024-09-19,2024-09-19,10528,50,46
RMG Research,-0.4,2024-09-16,2024-09-19,2024-09-19,2969,50,48
Morning Consult,-0.3,2024-09-16,2024-09-18,2024-09-18,10578,50,46
YouGov,-1.1,2024-09-15,2024-09-17,2024-09-17,1445,49,45
Morning Consult,-0.3,2024-09-15,2024-09-17,2024-09-17,10968,50,45
Hart/POS,-0.7,2024-09-13,2024-09-17,2024-09-17,1000,49,44
Data for Progress,-1.2,2024-09-12,2024-09-17,2024-09-17,6152,50,45
HarrisX,-0.1,2024-09-14,2024-09-16,2024-09-16,1505,51,49
HarrisX,-0.1,2024-09-14,2024-09-16,2024-09-16,1306,51,49
HarrisX,-0.1,2024-09-14,2024-09-16,2024-09-16,1247,51,49
Morning Consult,-0.3,2024-09-14,2024-09-16,2024-09-16,11092,50,45
Angus Reid,-0.1,2024-09-13,2024-09-16,2024-09-16,1707,49,45
Beacon/Shaw,-1.1,2024-09-13,2024-09-16,2024-09-16,1102,50,48
Beacon/Shaw,-1.1,2024-09-13,2024-09-16,2024-09-16,876,50,48
Siena/NYT,-1.5,2024-09-11,2024-09-16,2024-09-16,2437,47,47
Morning Consult,-0.3,2024-09-13,2024-09-15,2024-09-15,11022,51,45
Monmouth,-0.9,2024-09-11,2024-09-15,2024-09-15,803,48,44
Morning Consult,-0.3,2024-09-12,2024-09-14,2024-09-14,10868,50,45
Data for Progress,-1.2,2024-09-12,2024-09-13,2024-09-13,1283,50,46
YouGov,-1.1,2024-09-11,2024-09-13,2024-09-13,1177,50,45
YouGov,-1.1,2024-09-11,2024-09-13,2024-09-13,1090,50,46
YouGov,-1.1,2024-09-11,2024-09-13,2024-09-13,1175,48,44
TIPP,-0.4,2024-09-11,2024-09-13,2024-09-13,1721,47,43
Ipsos,-0.9,2024-09-11,2024-09-13,2024-09-13,3276,51,46
Ipsos,-0.9,2024-09-11,2024-09-13,2024-09-13,2772,51,47
Ipsos,-0.9,2024-09-11,2024-09-13,2024-09-13,2196,52,46
Morning Consult,-0.3,2024-09-11,2024-09-13,2024-09-13,10270,50,45
HarrisX,-0.1,2024-09-11,2024-09-13,2024-09-13,3018,52,48
Ipsos,-0.9,2024-09-11,2024-09-12,2024-09-12,1405,47,42
Ipsos,-0.9,2024-09-11,2024-09-12,2024-09-12,1690,43,39
AtlasIntel,-0.8,2024-09-11,2024-09-12,2024-09-12,1775,48,50.9
Morning Consult,-0.3,2024-09-10,2024-09-12,2024-09-12,10100,50,45
RMG Research,-0.4,2024-09-09,2024-09-12,2024-09-12,2756,51,47
Morning Consult,-0.3,2024-09-11,2024-09-11,2024-09-11,3317,50,45
Leger,0,2024-09-10,2024-09-11,2024-09-11,1174,47,44
Morning Consult,-0.3,2024-09-09,2024-09-11,2024-09-11,9889,50,46
Morning Consult,-0.3,2024-09-10,2024-09-10,2024-09-10,3204,50,46
YouGov,-1.1,2024-09-08,2024-09-10,2024-09-10,1464,45,45
Morning Consult,-0.3,2024-09-08,2024-09-10,2024-09-10,10482,50,46
Morning Consult,-0.3,2024-09-07,2024-09-09,2024-09-09,10884,49,46
Morning Consult,-0.3,2024-09-06,2024-09-08,2024-09-08,10607,49,46
Morning Consult,-0.3,2024-09-05,2024-09-07,2024-09-07,10145,49,46
Morning Consult,-0.3,2024-09-04,2024-09-06,2024-09-06,10014,49,46
Siena/NYT,-1.5,2024-09-03,2024-09-06,2024-09-06,1695,47,48
HarrisX/Harris Poll,-0.1,2024-09-04,2024-09-05,2024-09-05,2358,50,50
RMG Research,-0.4,2024-09-03,2024-09-05,2024-09-05,2701,50,48
Marist,-0.9,2024-09-03,2024-09-05,2024-09-05,1413,49,48
Morning Consult,-0.3,2024-09-03,2024-09-05,2024-09-05,10862,49,46
Cygnal,-1.1,2024-09-03,2024-09-05,2024-09-05,1510,49,46.9
Emerson,-1.1,2024-09-03,2024-09-04,2024-09-04,1000,51.3,47.6
Morning Consult,-0.3,2024-09-02,2024-09-04,2024-09-04,11414,49,46
Kaiser Family Foundation,-0.3,2024-08-26,2024-09-04,2024-09-04,1084,48,47
YouGov,-1.1,2024-09-01,2024-09-03,2024-09-03,1389,47,45
Morning Consult,-0.3,2024-09-01,2024-09-03,2024-09-03,4000,48,45
Morning Consult,-0.3,2024-09-01,2024-09-03,2024-09-03,11928,50,46
Morning Consult,-0.3,2024-08-31,2024-09-02,2024-09-02,4000,48,45
Morning Consult,-0.3,2024-08-31,2024-09-02,2024-09-02,12084,50,45
Pew,-0.4,2024-08-26,2024-09-02,2024-09-02,8044,49,49
Morning Consult,-0.3,2024-08-30,2024-09-01,2024-09-01,4000,48,45
Morning Consult,-0.3,2024-08-30,2024-09-01,2024-09-01,11919,50,45
Morning Consult,-0.3,2024-08-29,2024-08-31,2024-08-31,4000,48,45
Morning Consult,-0.3,2024-08-29,2024-08-31,2024-08-31,11495,50,46
TIPP,-0.4,2024-08-28,2024-08-30,2024-08-30,1386,48,45
Morning Consult,-0.3,2024-08-28,2024-08-30,2024-08-30,4000,48,45
Morning Consult,-0.3,2024-08-28,2024-08-30,2024-08-30,11214,49,46
Morning Consult,-0.3,2024-08-27,2024-08-29,2024-08-29,4000,48,45
Morning Consult,-0.3,2024-08-27,2024-08-29,2024-08-29,10875,49,46
RMG Research,-0.4,2024-08-26,2024-08-28,2024-08-28,2441,51,48
Morning Consult,-0.3,2024-08-26,2024-08-28,2024-08-28,4000,48,45
Morning Consult,-0.3,2024-08-26,2024-08-28,2024-08-28,10673,49,46
Suffolk,-1,2024-08-25,2024-08-28,2024-08-28,1000,47.6,43.3
Clarity,-0.2,2024-08-23,2024-08-28,2024-08-28,1238,57,45
Ipsos,-0.9,2024-08-21,2024-08-28,2024-08-28,3562,45,41
Ipsos,-0.9,2024-08-21,2024-08-28,2024-08-28,4253,41,38
YouGov,-1.1,2024-08-25,2024-08-27,2024-08-27,1368,47,45
Morning Consult,-0.3,2024-08-25,2024-08-27,2024-08-27,4000,48,44
Morning Consult,-0.3,2024-08-25,2024-08-27,2024-08-27,7148,49,45
Quinnipiac,-0.5,2024-08-23,2024-08-27,2024-08-27,1611,49,48
Ipsos,-0.9,2024-08-23,2024-08-27,2024-08-27,2496,50,46
Ipsos,-0.9,2024-08-23,2024-08-27,2024-08-27,NA,52,46
Morning Consult,-0.3,2024-08-24,2024-08-26,2024-08-26,4000,48,44
Morning Consult,-0.3,2024-08-24,2024-08-26,2024-08-26,7119,50,45
YouGov,-1.1,2024-08-22,2024-08-26,2024-08-26,1194,46,45
YouGov,-1.1,2024-08-22,2024-08-26,2024-08-26,1197,47,46
YouGov,-1.1,2024-08-22,2024-08-26,2024-08-26,1788,39,36
YouGov,-1.1,2024-08-22,2024-08-26,2024-08-26,1200,44,42
Echelon Insights,-0.8,2024-08-23,2024-08-25,2024-08-25,1031,48,50
Morning Consult,-0.3,2024-08-23,2024-08-25,2024-08-25,7818,48,44
Morning Consult,-0.3,2024-08-23,2024-08-25,2024-08-25,6905,50,45
Leger,0,2024-08-23,2024-08-25,2024-08-25,908,50,46
Leger,0,2024-08-23,2024-08-25,2024-08-25,863,50,46
Kaplan Strategies,-0.9,2024-08-24,2024-08-24,2024-08-24,1257,50,46
Kaplan Strategies,-0.9,2024-08-24,2024-08-24,2024-08-24,1190,52,45
Morning Consult,-0.3,2024-08-22,2024-08-24,2024-08-24,4000,48,44
Morning Consult,-0.3,2024-08-22,2024-08-24,2024-08-24,9963,50,45
Morning Consult,-0.3,2024-08-21,2024-08-23,2024-08-23,4000,48,44
Morning Consult,-0.3,2024-08-21,2024-08-23,2024-08-23,9845,50,45
Angus Reid,-0.1,2024-08-19,2024-08-23,2024-08-23,1758,47,42
Morning Consult,-0.3,2024-08-20,2024-08-22,2024-08-22,4000,48,44
Morning Consult,-0.3,2024-08-20,2024-08-22,2024-08-22,9801,50,45
RMG Research,-0.4,2024-08-19,2024-08-22,2024-08-22,2404,49,49
YouGov,-1.1,2024-08-15,2024-08-22,2024-08-22,1835,44,40
Morning Consult,-0.3,2024-08-19,2024-08-21,2024-08-21,4000,48,45
Morning Consult,-0.3,2024-08-19,2024-08-21,2024-08-21,9928,49,46
Morning Consult,-0.3,2024-08-18,2024-08-20,2024-08-20,4000,47,45
Morning Consult,-0.3,2024-08-18,2024-08-20,2024-08-20,10142,49,46
YouGov,-1.1,2024-08-17,2024-08-20,2024-08-20,1371,46,43
Fairleigh Dickinson,-0.6,2024-08-17,2024-08-20,2024-08-20,801,50,43
Morning Consult,-0.3,2024-08-17,2024-08-19,2024-08-19,4000,47,44
Morning Consult,-0.3,2024-08-17,2024-08-19,2024-08-19,10527,49,45
Morning Consult,-0.3,2024-08-16,2024-08-18,2024-08-18,11528,48,44
Morning Consult,-0.3,2024-08-16,2024-08-18,2024-08-18,10195,49,45
Morning Consult,-0.3,2024-08-15,2024-08-17,2024-08-17,4000,48,44
Morning Consult,-0.3,2024-08-15,2024-08-17,2024-08-17,9354,49,45
YouGov,-1.1,2024-08-14,2024-08-16,2024-08-16,3253,51,48
Morning Consult,-0.3,2024-08-14,2024-08-16,2024-08-16,4000,48,44
Morning Consult,-0.3,2024-08-14,2024-08-16,2024-08-16,9132,50,45
Morning Consult,-0.3,2024-08-13,2024-08-15,2024-08-15,4000,48,44
Morning Consult,-0.3,2024-08-13,2024-08-15,2024-08-15,9636,49,45
Data for Progress,-1.2,2024-08-01,2024-08-15,2024-08-15,6067,49,46
Emerson,-1.1,2024-08-12,2024-08-14,2024-08-14,1000,52.3,47.7
RMG Research,-0.4,2024-08-12,2024-08-14,2024-08-14,2708,47,49
Morning Consult,-0.3,2024-08-12,2024-08-14,2024-08-14,4000,47,44
Morning Consult,-0.3,2024-08-12,2024-08-14,2024-08-14,9920,49,45
YouGov,-1.1,2024-08-11,2024-08-13,2024-08-13,1407,46,44
Morning Consult,-0.3,2024-08-11,2024-08-13,2024-08-13,4000,47,45
Morning Consult,-0.3,2024-08-11,2024-08-13,2024-08-13,10125,49,45
Ipsos,-0.9,2024-08-09,2024-08-13,2024-08-13,2336,50,45
Ipsos,-0.9,2024-08-09,2024-08-13,2024-08-13,1975,49,45
Ipsos,-0.9,2024-08-09,2024-08-13,2024-08-13,1505,51,45
Morning Consult,-0.3,2024-08-10,2024-08-12,2024-08-12,4000,47,44
Morning Consult,-0.3,2024-08-10,2024-08-12,2024-08-12,10440,49,45
Beacon/Shaw,-1.1,2024-08-09,2024-08-12,2024-08-12,1105,49,50
Morning Consult,-0.3,2024-08-09,2024-08-11,2024-08-11,11778,47,44
Morning Consult,-0.3,2024-08-09,2024-08-11,2024-08-11,10374,49,45
Pew,-0.4,2024-08-05,2024-08-11,2024-08-11,7569,46,45
Morning Consult,-0.3,2024-08-08,2024-08-10,2024-08-10,4000,48,44
Morning Consult,-0.3,2024-08-08,2024-08-10,2024-08-10,10112,49,45
Morning Consult,-0.3,2024-08-07,2024-08-09,2024-08-09,4000,48,44
Morning Consult,-0.3,2024-08-07,2024-08-09,2024-08-09,9795,50,45
Morning Consult,-0.3,2024-08-06,2024-08-08,2024-08-08,4000,48,44
Morning Consult,-0.3,2024-08-06,2024-08-08,2024-08-08,9715,50,45
Cygnal,-1.1,2024-08-06,2024-08-08,2024-08-08,1500,47.6,47
RMG Research,-0.4,2024-08-05,2024-08-07,2024-08-07,2000,47,46
RMG Research,-0.4,2024-08-05,2024-08-07,2024-08-07,NA,49,49
Morning Consult,-0.3,2024-08-05,2024-08-07,2024-08-07,4000,48,44
Morning Consult,-0.3,2024-08-05,2024-08-07,2024-08-07,9682,50,45
Ipsos,-0.9,2024-08-02,2024-08-07,2024-08-07,1342,49,47
YouGov,-1.1,2024-08-04,2024-08-06,2024-08-06,1413,45,43
Morning Consult,-0.3,2024-08-04,2024-08-06,2024-08-06,4000,48,44
Morning Consult,-0.3,2024-08-04,2024-08-06,2024-08-06,10013,49,45
Morning Consult,-0.3,2024-08-03,2024-08-05,2024-08-05,4000,47,44
Morning Consult,-0.3,2024-08-03,2024-08-05,2024-08-05,10206,49,45
SurveyUSA,-1.3,2024-08-02,2024-08-05,2024-08-05,1510,48,45
Morning Consult,-0.3,2024-08-02,2024-08-04,2024-08-04,11265,48,44
Morning Consult,-0.3,2024-08-02,2024-08-04,2024-08-04,9952,49,45
Marist,-0.9,2024-08-01,2024-08-04,2024-08-04,1513,51,48
HarrisX,-0.1,2024-08-02,2024-08-03,2024-08-03,1011,49,51
Morning Consult,-0.3,2024-08-01,2024-08-03,2024-08-03,4000,47,44
Morning Consult,-0.3,2024-08-01,2024-08-03,2024-08-03,9394,48,46
