name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,pos,age,gp,w,l,min,pts,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,x
Ajay Mitchell,Oklahoma City Thunder,Belgium,25,SG,PG,3PT Shot Creator,"6'5""",190,"6'9""",NA,1,2002-06-25,68,73,73,75,85,50,83,80,53,87,80,69,79,68,52,43,64,52,45,33,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Horford,Boston Celtics,Dominican Republic,42,PF,C,2-Way 3-Level Scoring Threat,"6'9""",240,"7'1""",9500000,18,1986-06-03,80,94,83,85,71,65,53,67,91,95,78,79,50,84,72,82,68,38,71,51,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Burks,Miami Heat,United States,18,SG,SF,Shot-Creating 3-Level Threat,"6'6""",214,"6'10""",2087519,14,1991-07-20,76,71,75,81,90,65,78,78,48,89,85,72,79,73,57,45,72,38,47,36,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Caruso,Oklahoma City Thunder,United States,9,SG,SF,3 & D Two Guard,"6'5""",186,"6'6""",9890000,9,1994-02-28,82,83,85,84,77,70,82,94,31,85,81,78,78,80,85,51,94,97,74,41,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Len,Sacramento Kings,Ukraine,25,C,NA,Board-Hunting Lob Threat,"7'0""",250,"7'4""",2087519,12,1993-06-16,71,88,61,70,66,50,43,50,75,80,78,31,32,45,60,70,44,40,91,76,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexandre Sarr,Washington Wizards,France,20,PF,C,Rim Attacker,"7'1""",205,"7'5""",11245680,1,2005-04-26,75,73,71,71,61,60,73,72,67,80,80,65,73,66,75,75,72,62,83,64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alperen Sengun,Houston Rockets,Turkey,28,C,NA,Inside the Arc Threat,"6'11""",243,"7'2""",5424654,4,2002-07-25,85,97,80,72,67,80,52,64,86,88,80,74,62,78,66,69,63,53,61,68,80,C,20,75,18,57,2170.7,1109,442,799,55.3,19,57,33.3,206,288,71.5,242,436,678,291,193,70,70,258,2586,29,2,-283
Amen Thompson,Houston Rockets,United States,1,SG,SF,2-Way Rim Attacker,"6'7""",200,"7'0""",9249960,2,2003-01-30,80,86,71,42,64,45,95,90,50,95,80,80,86,80,71,46,80,83,65,76,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amir Coffey,Los Angeles Clippers,United States,7,SF,SG,Shot-Creating 3-Level Threat,"6'7""",210,"6'8""",3938271,6,1997-06-17,73,93,82,82,78,60,75,75,52,80,79,72,75,74,55,47,64,42,47,36,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Drummond,Philadelphia 76ers,United States,5,C,NA,Paint Beast,"6'11""",279,"7'6""",5000000,13,1993-08-10,78,85,47,47,60,40,60,58,95,89,81,52,45,70,72,77,52,83,75,97,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Jackson Jr.,Milwaukee Bucks,United States,44,SF,PG,Wing Stopper,"6'6""",209,"6'10""",1891857,2,2001-11-13,72,70,68,80,70,50,87,87,50,90,80,69,69,64,63,53,80,42,25,66,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Nembhard,Indiana Pacers,Canada,2,SG,PG,2-Way 3-Level Shot Creator,"6'4""",191,"6'6""",2019699,3,2000-01-16,81,94,95,79,79,70,76,81,46,85,80,80,79,80,66,68,80,53,32,36,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Wiggins,Golden State Warriors,Canada,22,SF,PF,Inside-Out Shot Creator,"6'7""",197,"7'0""",26276786,11,1995-02-23,78,92,72,80,61,70,82,82,57,87,83,62,79,60,61,55,74,38,58,56,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anfernee Simons,Portland Trail Blazers,United States,1,SG,PG,Inside-Out ISO Specialist,"6'3""",181,"6'9""",25892857,7,1999-06-08,81,84,79,82,95,60,86,89,41,92,80,78,86,79,45,49,59,33,32,32,52,SG,23,62,27,35,2170.7,1306,467,1045,44.7,212,562,37.7,160,179,89.4,18,143,161,253,128,42,14,142,1919,0,0,-75
Anthony Black,Orlando Magic,United States,0,PG,SG,Inside-Out Scoring Threat,"6'7""",200,"6'8""",7607760,2,2004-01-20,74,78,65,83,57,98,75,78,58,92,80,80,86,77,60,43,75,43,56,41,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Davis,Los Angeles Lakers,United States,3,C,PF,Slashing Paint Beast,"6'10""",253,"7'6""",43219440,13,1993-03-11,94,93,79,70,82,98,79,78,92,97,80,60,75,72,84,95,80,46,87,72,90,PF,30,56,31,25,1904.5,1451,542,962,56.3,19,74,25.7,348,444,78.4,195,507,702,148,122,59,114,146,2912,40,0,205
Anthony Edwards,Minnesota Timberwolves,United States,5,SG,SF,2-Way Scoring Phenom,"6'4""",225,"6'9""",42176400,5,2001-08-05,93,95,87,86,85,75,91,90,62,97,83,74,86,79,72,59,87,53,52,36,63,SG,21,79,40,39,2841.5,1946,707,1541,45.9,213,578,36.9,319,422,75.6,47,411,458,350,259,125,58,186,3311,9,0,97
Anthony Gill,Washington Wizards,United States,16,PF,C,Interior Threat,"6'8""",230,"7'0""",NA,9,1992-10-17,72,84,72,65,76,70,69,67,60,80,80,38,54,55,55,66,60,41,58,65,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anton Watson,Boston Celtics,United States,28,PF,SF,Promising Prospect,"6'8""",228,"7'0""",NA,1,2000-10-06,68,73,69,70,65,60,65,65,60,80,80,54,54,55,53,60,60,49,42,60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Reeves,New Orleans Pelicans,United States,12,SG,SF,Catch & Shoot Threat,"6'3""",195,"6'7""",NA,1,2000-11-20,68,73,79,78,84,60,83,78,39,85,80,62,70,62,47,32,60,46,51,41,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzejs Pasecniks,Milwaukee Bucks,Latvia,18,C,NA,Interior Threat,"7'1""",229,"7'5""",NA,8,1995-12-20,73,89,67,54,56,70,45,52,68,85,80,33,32,52,55,69,40,36,66,71,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariel Hukporti,New York Knicks,Germany,55,C,PF,Board Hunter,"7'0""",250,"7'3""",NA,1,2002-04-12,68,63,57,47,61,50,47,37,68,80,82,43,45,44,51,60,37,28,90,82,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ausar Thompson,Detroit Pistons,United States,9,SF,PF,2-Way Rim Attacker,"6'6""",205,"7'0""",8376000,2,2003-01-30,78,94,63,45,69,40,94,90,50,95,80,75,83,75,78,69,84,73,72,67,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Reaves,Los Angeles Lakers,United States,15,SG,PG,Balanced Two Guard,"6'5""",197,"6'6""",12976362,4,1998-05-29,81,96,83,81,86,70,83,83,44,85,80,70,73,74,57,35,73,40,45,37,54,SG,24,64,35,29,1843.2,833,259,490,52.9,86,216,39.8,229,265,86.4,33,160,193,215,99,33,19,108,1444,1,0,214
Ayo Dosunmu,Chicago Bulls,United States,12,SG,PG,Shot-Creating 3-Level Threat,"6'5""",200,"6'10""",7000000,4,2000-01-17,78,88,91,84,71,85,76,78,52,85,80,72,79,79,58,38,69,43,56,38,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bam Adebayo,Miami Heat,United States,13,C,NA,Paint Beast,"6'9""",255,"7'3""",34848340,8,1997-07-18,88,97,70,71,81,60,74,84,85,92,90,72,69,74,88,94,88,79,84,74,89,C,25,75,40,35,2598,1529,602,1114,54,1,12,8.3,324,402,80.6,184,504,688,240,187,88,61,208,2975,31,0,117
Baylor Scheierman,Boston Celtics,United States,55,SG,SF,Perimeter Shot Creator,"6'7""",205,"6'11""",2494320,1,2000-09-26,69,73,80,83,85,60,86,64,54,90,80,70,71,69,49,47,56,47,50,41,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sheppard,Indiana Pacers,United States,26,SG,SF,Defensive Menace,"6'6""",190,"6'8""",2663880,2,2001-07-16,71,78,78,74,70,60,84,84,54,85,80,70,73,70,65,54,79,66,30,35,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Simmons,Brooklyn Nets,Australia,10,PG,C,2-Way Rim Attacker,"6'10""",240,"7'0""",40338144,9,1996-07-20,76,75,46,50,44,50,87,87,80,80,83,79,86,80,73,79,82,46,65,68,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennedict Mathurin,Indiana Pacers,Canada,00,SF,SF,Shot-Creating 3-Level Threat,"6'5""",210,"6'9""",7245720,3,2002-06-19,80,82,84,82,84,50,84,84,54,92,80,75,79,82,52,42,69,37,42,47,57,SG,20,78,33,45,2222.4,1302,413,951,43.4,100,310,32.3,376,454,82.8,87,231,318,116,152,48,13,162,1889,0,0,-179
Bilal Coulibaly,Washington Wizards,France,0,SG,SF,Versatile Stopper,"6'8""",195,"7'2""",6945240,2,2004-07-26,77,66,48,78,63,95,82,85,63,92,80,68,69,62,73,67,80,70,62,41,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Wesley,San Antonio Spurs,United States,14,PG,SG,Rim Attacker,"6'3""",185,"6'9""",2624280,3,2003-03-16,72,79,60,67,59,70,78,78,40,92,80,69,83,68,55,49,71,46,47,36,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bobby Portis,Milwaukee Bucks,United States,9,PF,C,3-Level Scoring Threat,"6'10""",250,"7'2""",12578286,10,1995-02-10,80,94,85,84,81,55,65,64,80,85,84,55,52,52,60,78,40,46,53,64,86,F,28,70,47,23,1818.4,987,398,803,49.6,95,257,37,96,125,76.8,154,518,672,105,81,29,16,115,2005,38,0,17
Bobi Klintman,Detroit Pistons,Sweden,34,PF,SF,Promising Prospect,"6'10""",225,"7'0""",NA,1,2003-03-06,69,68,70,74,80,60,75,68,55,90,80,68,70,68,60,57,64,62,57,41,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogdan Bogdanovic,Atlanta Hawks,Serbia,13,SG,SF,Sharpshooter,"6'5""",225,"6'11""",17260000,11,1992-08-18,79,94,89,82,92,60,75,75,63,89,77,74,79,79,56,51,63,56,50,36,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bojan Bogdanovic,Brooklyn Nets,Croatia,44,SF,PF,Sharpshooting Wing,"6'7""",226,"6'11""",19032850,14,1989-04-18,77,92,90,83,77,60,67,72,60,93,84,77,74,82,57,54,72,37,32,33,50,SF,34,59,15,44,1892.9,1273,430,882,48.8,145,353,41.1,268,303,88.4,36,187,223,152,135,34,8,113,1760,0,0,-330
Bol Bol,Phoenix Suns,South Sudan,11,PF,C,3-Level Scoring Threat,"7'3""",220,"7'8""",NA,6,1999-11-16,75,95,82,79,76,70,68,68,65,80,77,50,70,40,57,72,52,37,83,65,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradley Beal,Phoenix Suns,United States,3,SG,PG,Walking Bucket,"6'4""",207,"6'8""",50203930,13,1993-06-28,85,88,86,87,71,70,76,83,62,98,82,82,88,85,55,45,66,42,52,42,52,SG,29,50,24,26,1672.9,1160,444,878,50.6,80,219,36.5,192,228,84.2,41,155,196,271,145,45,33,107,1891,2,0,42
Brandin Podziemski,Golden State Warriors,United States,2,SG,PG,Inside-Out Shot Creator,"6'4""",205,"6'6""",3519960,2,2003-02-25,79,87,68,82,65,98,82,82,54,89,80,69,80,68,53,45,63,43,40,57,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Boston Jr.,San Antonio Spurs,United States,4,SF,SG,Mid-Range Threat,"6'6""",188,"6'11""",NA,4,2001-11-28,72,78,74,67,76,75,79,83,50,80,83,64,76,66,50,49,62,46,61,57,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Clarke,Memphis Grizzlies,Canada,15,C,PF,2-Way Inside-The-Arc Threat,"6'8""",215,"6'8""",12500000,6,1996-09-19,77,97,86,57,72,45,84,83,64,90,80,59,69,62,73,78,75,53,81,71,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Ingram,New Orleans Pelicans,United States,14,SF,PF,Mid-Range Slasher,"6'8""",190,"7'3""",36016200,9,1997-09-02,85,94,93,78,80,60,74,74,42,95,85,75,85,79,59,61,69,40,58,36,62,SF,25,45,23,22,1538.1,1112,404,835,48.4,64,164,39,240,272,88.2,23,223,246,262,148,32,19,116,1805,6,2,96
Brandon Miller,Charlotte Hornets,United States,24,SF,SG,Shot-Creating 3-Level Threat,"6'7""",200,"7'1""",11424600,2,2002-11-22,81,82,91,81,83,70,78,82,51,95,80,75,86,75,60,50,73,42,56,38,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Williams,Dallas Mavericks,United States,00,PG,SG,Steady Playmaker,"6'1""",190,"6'6""",NA,4,1999-11-22,70,77,77,67,82,65,79,79,62,89,81,75,79,79,51,33,62,53,55,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brice Sensabaugh,Utah Jazz,United States,8,SF,SG,Mid-Range Shot Creator,"6'5""",235,"6'7""",2571480,2,2003-10-30,72,91,84,73,83,60,65,67,64,88,79,65,74,63,48,50,55,38,47,40,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bronny James,Los Angeles Lakers,United States,9,SG,PG,Rim Attacker,"6'3""",190,"6'7""",NA,1,2004-10-06,68,69,63,69,68,50,87,87,60,90,80,67,70,65,59,47,72,57,44,42,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brook Lopez,Milwaukee Bucks,United States,11,C,NA,2-Way 3-Level Scoring Threat,"7'1""",282,"7'6""",23000000,17,1988-04-01,80,84,94,80,81,60,25,60,89,92,79,35,35,78,75,89,45,36,90,52,58,C,35,78,57,21,2372.5,1239,477,899,53.1,136,364,37.4,149,190,78.4,157,363,520,99,107,37,193,203,2595,11,0,398
Bruce Brown,Toronto Raptors,United States,11,PG,SG,Perimeter Threat,"6'4""",202,"6'9""",23000000,7,1996-08-15,77,88,86,75,80,85,78,78,75,92,84,79,79,87,63,58,77,43,45,40,61,SF,26,80,53,27,2279.5,923,358,741,48.3,91,254,35.8,116,153,75.8,63,265,328,268,123,87,51,190,2010,3,1,31
Bruno Fernando,Toronto Raptors,Angola,24,C,NA,Board-Hunting Lob Threat,"6'9""",240,"7'3""",NA,6,1998-08-15,71,77,65,42,70,25,74,74,85,85,80,52,50,65,58,64,44,53,76,77,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce McGowens,Portland Trail Blazers,United States,7,SF,SG,Shot-Creating 3-Level Threat,"6'6""",175,"6'9""",NA,3,2002-11-08,71,87,79,77,73,55,74,75,48,85,80,52,74,50,55,37,66,40,51,35,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bub Carrington,Washington Wizards,United States,8,PG,SG,Perimeter Shot Creator,"6'5""",180,"6'9""",4454880,1,2005-07-21,70,76,84,75,78,60,82,72,54,89,80,72,82,72,45,40,55,43,37,37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddy Hield,Golden State Warriors,Bahamas,7,SG,SF,Perimeter Shot Creator,"6'4""",220,"6'9""",8780488,9,1992-12-17,79,88,80,88,82,55,75,78,41,90,82,70,79,70,55,48,69,46,56,40,52,SG,30,80,35,45,2481.9,1344,475,1038,45.8,288,677,42.5,106,129,82.2,67,333,400,225,139,92,26,156,2377,3,0,-84
Cade Cunningham,Detroit Pistons,United States,2,PG,SG,Shot-Creating 3-Level Threat,"6'6""",220,"7'0""",13940809,4,2001-09-25,86,85,92,82,88,70,83,83,62,94,80,67,86,84,64,59,75,41,47,33,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caleb Houstan,Orlando Magic,Canada,2,SG,SF,3 & D Threat,"6'8""",205,"7'0""",2019699,3,2003-01-09,72,74,76,81,78,70,78,82,40,86,80,62,70,65,61,47,80,36,37,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caleb Martin,Philadelphia 76ers,United States,16,PF,SF,Inside-Out Scoring Threat,"6'5""",210,"6'10""",8149001,6,1995-09-28,76,91,70,80,66,70,68,74,58,85,80,62,69,69,65,68,75,41,56,48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Christie,Los Angeles Clippers,United States,12,SG,PG,Catch & Shoot Threat,"6'6""",190,"6'10""",NA,1,2005-07-24,68,67,79,80,79,50,87,82,42,86,80,68,70,68,48,47,62,39,30,42,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Spencer,Memphis Grizzlies,United States,24,SG,SF,Catch & Shoot Ace,"6'4""",207,"6'8""",NA,1,2000-04-06,68,68,79,82,90,60,73,73,45,85,80,67,66,67,49,44,59,49,44,47,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Johnson,Brooklyn Nets,United States,2,PF,SF,Stretch Four,"6'8""",210,"6'10""",22500000,6,1996-03-03,79,77,81,83,82,70,70,70,60,85,78,59,59,66,60,65,69,43,45,43,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Payne,New York Knicks,United States,1,PG,NA,3-Level Scoring Threat,"6'3""",183,"6'7""",2087519,10,1994-08-08,75,89,90,83,85,60,75,75,39,82,84,75,86,79,46,31,60,46,45,34,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
